id,latitude,longitude,host
rll-haydn,-37.81517,144.97476,192.168.167.100
rll-h01,-37.81524,144.95256,192.168.167.101
rll-h02,-37.81239,144.9712,192.168.167.102
rll-h03,-37.816790000000005,144.96918,192.168.167.103
rll-mozart,-37.81808,144.95692,192.168.167.120
rll-m01,-37.811269,144.957909,192.168.167.121
rll-m02,-37.809081,144.96893,192.168.167.122
rll-m03,-37.815461,144.962656,192.168.167.123
rll-strauss,-37.81285,144.955026,192.168.167.130
rll-s01,-37.816356,144.962313,192.168.167.131
rll-beethoven,-37.818071,144.957211,192.168.167.170
rll-b01,-37.818202,144.954367,192.168.167.171
